Datum,Ticker,Aktion,Menge,Kurs,Konfidenz,Grund,RSI,Trend,Depot-Typ,Risk,Regime,Decision-ID
2026-08-10T21:16:07,TNA,kaufen,voll,73.49,60,"Aufwärtstrend, RSI 53, Preis über SMA20/SMA50, moderater Volumen, leveraged ETF, kleine Ergänzung [K",53.5,Aufwärtstrend (Kurs > SMA20 > SMA50),aktien,,open,d_20260810_211607_TNA_aktien_na
2026-08-10T21:16:59,RKLB,verkaufen,voll,80.58,55,"Neutraler Trend, RSI 62.8 nicht überkauft, Anti-Halt Regel für volatile Titel, kein Cash für Zukauf,",62.8,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_211659_RKLB_aktien_na
2026-08-10T21:17:11,IONQ,verkaufen,voll,42.82,58,"Neutraler Trend, Anti-Halten-Regeln für Vola/AI-Titel, kein Cash für Zukauf, Verkauf freit Kapital",63.2,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_211711_IONQ_aktien_na
2026-08-10T21:17:48,JDST,kaufen,voll,26.0,55,"Watchlist, Cash vorhanden, Hebel-ETF kleine Position erlaubt; Trend abwärts/RSI oversold, keine klar",26.2,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260810_211748_JDST_aktien_na
2026-08-10T21:18:52,TQQQ,kaufen,voll,74.14,45,"Neutraler Trend (zwischen SMA20/50), RSI 53.8, niedriges Volumen (0.59x). Hebel-ETF (3x) nur mit kle",53.8,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_211852_TQQQ_aktien_na
2026-08-10T21:30:41,BOIL,verkaufen,voll,20.75,60,"Abwärtstrend, RSI neutral, volatility-Titel, anti-Regel [Konfidenz auf 60 gedeckelt: KI überschätzt ",43.7,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260810_213041_BOIL_aktien_na
2026-08-10T21:30:45,IONQ,kaufen,voll,42.78,60,"neutrale Trend, RSI 63, moderater Volumen, cash verfügbar, keine Warnsignale [Konfidenz auf 60 gedec",63.1,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_213045_IONQ_aktien_na
2026-08-10T21:30:47,JDST,verkaufen,voll,26.01,60,"Abwärtstrend, Anti-Lev-Bear-Regel, keine Aufwärtssignale [Konfidenz auf 60 gedeckelt: KI überschätzt",26.2,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260810_213047_JDST_aktien_na
2026-08-10T21:30:56,RKLB,kaufen,voll,80.09,60,"neutrale Trend, RSI 62, moderater Volumen, Cash verfügbar, Watchlist, keine Anti-Signale [Konfidenz ",62.1,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_213056_RKLB_aktien_na
2026-08-10T21:32:43,BB,kaufen,voll,9.03,60,"neutrale Trend, moderater Volumen, kleine Position sinnvoll [Konfidenz auf 60 gedeckelt: KI überschä",50.8,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_213243_BB_aktien_na
2026-08-10T21:32:54,JDST,kaufen,voll,26.04,55,"RSI 26 oversold, downtrend, anti‑hold warning, small leveraged position permissible",26.2,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260810_213254_JDST_aktien_na
2026-08-10T21:33:01,TNA,kaufen,voll,73.51,60,"Aufwärtstrend, RSI 53, volatilität moderat, klares Kaufsignal trotz Anti-Regel, Konfidenz >=60 [Konf",53.5,Aufwärtstrend (Kurs > SMA20 > SMA50),aktien,,open,d_20260810_213301_TNA_aktien_na
2026-08-10T21:45:45,CRSP,verkaufen,voll,53.45,60,"RSI überkauft, neutraler Trend, geringe Nachfrage [Konfidenz auf 60 gedeckelt: KI überschätzt sich i",70.4,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_214545_CRSP_aktien_na
2026-08-10T21:45:49,JDST,verkaufen,voll,25.96,55,"Abwärtstrend, RSI 26, anti-Lev-Bear-Warnung, hohe Volatilität",26.1,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260810_214549_JDST_aktien_na
2026-08-10T21:45:59,BOIL,kaufen,voll,20.72,55,"leicht fallender Trend, RSI 43.5 nicht überkauft, leveraged ETF, kleine Position (<30% Cash) erlaubt",43.5,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260810_214559_BOIL_aktien_na
2026-08-10T21:46:44,BOIL,verkaufen,voll,20.7,60,"Abwärtstrend, Anti-Volatilitäts-Regel und Überkonzentration im Depot [Konfidenz auf 60 gedeckelt: KI",43.4,Abwärtstrend (Kurs < SMA20 < SMA50),aktien,,open,d_20260810_214644_BOIL_aktien_na
2026-08-10T21:46:56,TNA,kaufen,voll,73.47,60,"Aufwärtstrend, RSI 53, moderate Volatilität, leveraged bull mit Vorsicht, aber klares Kaufsignal [Ko",53.4,Aufwärtstrend (Kurs > SMA20 > SMA50),aktien,,open,d_20260810_214656_TNA_aktien_na
2026-08-10T21:48:00,NRGU,kaufen,voll,44.67,60,"Aufwärtstrend, RSI 52, moderate Volatilität, leveraged ETF, klare Kaufsignale [Konfidenz auf 60 gede",52.3,Aufwärtstrend (Kurs > SMA20 > SMA50),aktien,,open,d_20260810_214800_NRGU_aktien_na
2026-08-10T21:48:01,QQQ,kaufen,voll,721.63,60,"neutrale Trend, low VIX, moderater Volume, kleine Position, keine Anti-Signale [Konfidenz auf 60 ged",54.9,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_214801_QQQ_aktien_na
2026-08-10T21:48:05,TQQQ,verkaufen,voll,74.04,60,"lev-bull anti-Signal, neutraler Trend, keine klaren Aufwärtsignale [Konfidenz auf 60 gedeckelt: KI ü",53.7,Neutral (Kurs zwischen SMA20/SMA50),aktien,,open,d_20260810_214805_TQQQ_aktien_na
